Polymer; set_alpha; set_beta; alpha_iso; alpha_embed; beta; sigma_alpha_iso; sigma_alpha_embed; sigma_beta; best_cost
NDTI-b14_2_10x2_BT -3.644902450559923 0.1460364340755055 -3.6049024505599268 -3.6749024505599253 0.08178040308228302 0.08299999999999999 0.16185000000000013 0.00498 0.0183
NDTI-b14_2_10x2_T_T -3.508054767036704 0.09302484193131393 -3.5680547670367058 -3.608054767036705 0.061861519884323736 0.05999999999999997 0.15449999999999992 0.031199999999999985 0.0084
AIGFU -5.433455960465643 0.15629023842880907 -5.653455960465642 -5.653455960465645 0.12659509312733533 0.093 0.1511250000000003 0.007439999999999972 0.0194
IGFU -5.218848232978019 0.1530712066445959 -5.428848232978018 -5.378848232978019 0.13546801788046733 0.09 0.15300000000000025 0.015299999999999973 0.0155
BNT_DPP-b12_2_8x2_BNT_TFF -5.211217307238943 0.062294910504270044 -5.341217307238944 -5.261217307238946 0.024917964201707984 0.093 0.19530000000000014 0.05022000000000002 0.0191
BN_DPP-b12_2_8x2_BN_TFF -5.37894258843901 0.05769648260013768 -5.458942588439012 -5.428942588439012 0.038945125755092916 0.07099999999999998 0.2946499999999997 0.07099999999999998 0.0235
BN_DPP-b12_2_8x2_BN_BTT -5.306760879399198 0.049889184876603286 -5.3567608793992 -5.3367608793992005 0.04939029302783725 0.08299999999999999 0.28427499999999967 0.03651999999999999 0.0168
BN_DPP-b12_2_8x2_BN_T_T -5.212890949258363 0.046126217500767175 -5.302890949258365 -5.282890949258365 0.023524370925391235 0.08299999999999999 0.2303249999999999 0.041499999999999995 0.0205
NDTI-b14_2_10x2_T -3.5545474834020783 0.14775493859191302 -3.5945474834020805 -3.674547483402079 0.12042027495240909 0.07099999999999998 0.14555000000000007 0.021299999999999982 0.0217
NDTI-b14_2_10x2_T_T_T -3.4718594106798806 0.05641724325705637 -3.511859410679883 -3.5318594106798824 0.05980227785247968 0.06399999999999997 0.18879999999999983 0.007039999999999977 0.0258
TTIG-b12_2_8x2_FU -4.709207780309326 0.14121094278229895 -4.899207780309325 -4.829207780309327 0.11579297308148512 0.05999999999999997 0.17249999999999982 0.03539999999999999 0.0148
TIG-b12_2_8x2_FU -4.686795918905851 0.24959240176863678 -4.896795918905853 -4.916795918905852 0.1647309851673002 0.07799999999999999 0.2534999999999997 0.04055999999999999 0.0154
FU_DPP-a18x2_FU_BTZ_b9_1_8 -4.78810131515787 0.13478490081697087 -4.95810131515787 -4.888101315157871 0.097045128588219 0.087 0.14790000000000023 0.011309999999999971 0.0103
DPP-b12_2_8x2_FU -5.545293084740175 0.3816202632705924 -5.415293084740181 -5.415293084740181 0.20225873953341378 0.17100000000000007 0.2650500000000007 0.05129999999999999 0.0156
DPP-b12_2_8x2_FU_FU -5.106293616495998 0.22807736770647452 -5.216293616495999 -5.186293616496 0.15395222320187024 0.10400000000000001 0.27559999999999996 0.013519999999999968 0.0193
DPP-b12_2_8x2_FU_FU_FU -4.861002148100192 0.13603851313355475 -5.061002148100191 -5.001002148100192 0.10883081050684376 0.08399999999999999 0.27299999999999974 0.031079999999999986 0.0145
FU_DPP-b12_2_8x2_FU_BTT -4.8256885995855034 0.11107094495680528 -5.0356885995855025 -5.015688599585503 0.10051920518590876 0.07699999999999999 0.22137499999999985 0.027719999999999984 0.014
FU_DPP-b12_2_8x2_FU_BFF -5.027194889369985 0.10775589651605653 -5.207194889369985 -5.157194889369986 0.08889861462574662 0.095 0.1543750000000003 0.01139999999999997 0.024
FU_DPP-b12_2_8x2_FU_TVT -4.654195829705918 0.07808216243425883 -4.914195829705916 -4.904195829705916 0.06519860563260611 0.07099999999999998 0.17217499999999997 0.03833999999999999 0.0095
IGF-b12_2_8x2_FU -5.402585610137129 0.1569053217759993 -5.642585610137127 -5.642585610137127 0.12395520420303942 0.07499999999999998 0.16687500000000002 0.03299999999999999 0.0084
NDI-b12_2_8x2_FU_FU_FU -3.276439960136793 0.06419308842242742 -3.2964399601367957 -3.196439960136798 0.038194887611344285 0.12600000000000003 0.1921500000000005 0.012599999999999964 0.0146
NDI-b12_2_8x2_FU_FU -3.3070401384534067 0.10852078420596396 -3.337040138453409 -3.3570401384534088 0.0482917489716539 0.10600000000000001 0.1590000000000004 0.023319999999999976 0.012
NDTI-b12_2_8x2_FU_FU_FU -3.3747354891698125 0.05662392078248612 -3.4247354891698145 -3.3847354891698154 0.053226485535536945 0.07099999999999998 0.12070000000000017 0.004969999999999997 0.0248
NDTI-b12_2_8x2_FU_FU -3.4313510325075924 0.09711727222715436 -3.4413510325075953 -3.461351032507595 0.08060733594853808 0.06499999999999997 0.1218750000000001 0.01624999999999998 0.0306
NDTI-b12_2_8x2_FU -3.4791319264338822 0.1467963142183955 -3.6191319264338824 -3.7091319264338805 0.04036898641005867 0.2170000000000001 0.28752500000000103 0.004340000000000002 0.0219
